title,Courage Under Fire (1996),M*A*S*H (a.k.a. MASH) (1970),True Grit (2010),Forrest Gump (1994),Rob Roy (1995),Roger & Me (1989),"Dirty Dozen, The (1967)",Saving Private Ryan (1998),Behind Enemy Lines (2001),Unforgiven (1992),"Manchurian Candidate, The (1962)",Braveheart (1995),Legends of the Fall (1994),"Treasure of the Sierra Madre, The (1948)",Shanghai Noon (2000),King Arthur (2004),Crimson Tide (1995),Dances with Wolves (1990),Tropic Thunder (2008),Jarhead (2005),U-571 (2000),Heartbreak Ridge (1986),There Will Be Blood (2007),Three Kings (1999),Schindler's List (1993),Letters from Iwo Jima (2006),Platoon (1986),Battlestar Galactica (2003),Thirteen Days (2000),A Million Ways to Die in the West (2014),Glory (1989),Fahrenheit 9/11 (2004),Desperado (1995),Blazing Saddles (1974),No Man's Land (2001),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","Good Morning, Vietnam (1987)",Young Guns (1988),Master and Commander: The Far Side of the World (2003),"Patriot, The (2000)",Butch Cassidy and the Sundance Kid (1969),Back to the Future Part III (1990),"Hurt Locker, The (2008)",Jackass: The Movie (2002),Troy (2004),Gone with the Wind (1939),Bowling for Columbine (2002),"Quick and the Dead, The (1995)",Lawrence of Arabia (1962),"Boot, Das (Boat, The) (1981)",Black Hawk Down (2001),"Bridge on the River Kwai, The (1957)",The Imitation Game (2014),Rambo III (1988),Pearl Harbor (2001),Enemy at the Gates (2001),"Great Dictator, The (1940)",Hot Shots! Part Deux (1993),Doctor Zhivago (1965),Lone Star (1996),"Thin Red Line, The (1998)","Peacemaker, The (1997)","Killing Fields, The (1984)",Super Size Me (2004),"Pianist, The (2002)","Last of the Mohicans, The (1992)",Maverick (1994),"Great Escape, The (1963)",Blood Diamond (2006),Flags of Our Fathers (2006),Hotel Rwanda (2004),"Last Samurai, The (2003)",Crumb (1994),Tombstone (1993),Django Unchained (2012),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),For a Few Dollars More (Per qualche dollaro in più) (1965),Grave of the Fireflies (Hotaru no haka) (1988),Dead Man (1995),Kelly's Heroes (1970),Captain America: The First Avenger (2011),300 (2007),Inglourious Basterds (2009),Born on the Fourth of July (1989),Westworld (1973),"Magnificent Seven, The (1960)",City Slickers II: The Legend of Curly's Gold (1994),Kingdom of Heaven (2005),Sicko (2007),Spellbound (2002),Life Is Beautiful (La Vita è bella) (1997),Duck Soup (1933),Cold Mountain (2003),Red Dawn (1984),3:10 to Yuma (2007),"March of the Penguins (Marche de l'empereur, La) (2005)",Stripes (1981),"Outlaw Josey Wales, The (1976)",Ran (1985),Paths of Glory (1957),Little Big Man (1970),¡Three Amigos! (1986),Hot Shots! (1991),High Noon (1952),We Were Soldiers (2002),Wild Wild West (1999),"Mariachi, El (1992)",Patton (1970),Full Metal Jacket (1987),"Downfall (Untergang, Der) (2004)",Hoop Dreams (1994),The Hateful Eight (2015),American Sniper (2014),"Deer Hunter, The (1978)",Seven Years in Tibet (1997),Small Soldiers (1998),"Fistful of Dollars, A (Per un pugno di dollari) (1964)","African Queen, The (1951)",City Slickers (1991),"English Patient, The (1996)",Once Upon a Time in the West (C'era una volta il West) (1968),X-Men: First Class (2011),Henry V (1989),Rango (2011),Lord of War (2005),Apocalypse Now (1979)
300 (2007),0.88879827725665,0.8514367468537193,0.6219203432616645,0.4104466519556933,0.881464435112727,0.8743194610014693,0.8327053408046605,0.4985658518940002,0.6869234904441992,0.6774087904996524,0.8435175249278695,0.5468702908589944,0.8233153378173016,0.9105158198022908,0.6969928264366312,0.6231103322643743,0.8382308220005239,0.6345590103825396,0.5112256579813937,0.5359096205436655,0.688228421699868,0.9088328498141036,0.7228436908887746,0.78628747660889,0.5776093834664814,0.7112512121387795,0.7187624453537494,0.627280498129487,0.8721999095576395,0.6490178535528082,0.8654733294910961,0.5670540014379687,0.6442914826494974,0.6795154654181113,0.8992803307358206,0.5508571245247802,0.7695492898018985,0.8241044772651012,0.6222291420307291,0.540605968299666,0.8161813036887584,0.4942067337945892,0.5883031810139661,0.6755617814124666,0.4261245404160884,0.847574126867162,0.5586016234304945,0.6772628839723287,0.8449652517971942,0.8456057854618324,0.5044974283459582,0.7615120786439864,0.6129120201305904,0.7753983526446195,0.6390525371877154,0.5827281090744778,0.8390548083485696,0.7230204865867083,0.8627416140227363,1.0,0.8353736958071272,0.920733693030847,0.9202983251173452,0.5081434519677839,0.5924677437630883,0.7014140761132186,0.784367681750183,0.831480799477627,0.3915867049983487,0.7434765837082984,0.6048470434294422,0.3907064954460676,0.910935005383098,0.7678051345857504,0.4909263550920174,0.6698202378152833,0.6179019007524285,0.7403896610037464,0.8038538898731379,0.9242116293050384,0.5698285008012169,0.0,0.4898722904592036,0.8731058714798352,0.9288162451440496,0.6970925797988059,0.7884718560973742,0.5596594934761604,0.6300477252519833,0.8356892704511201,0.6397263364350121,0.7930667077676143,0.8190295993184263,0.9177268370689448,0.5369303742331689,0.665961061092786,0.8080993477053534,0.8065183311252296,0.9582229880445664,0.8129309909778053,0.8711313334477462,0.7347309754507947,0.6979743646502712,0.8461265506191785,0.631720784956848,0.4585942135308953,0.7293924402899898,0.8262232130117995,0.5685766782546781,0.8573510090125914,0.9547676390954092,0.6657006308168607,0.735665802685217,0.7487791408981954,0.8043932152118564,0.774477976492216,0.585839814381951,0.928972672389377,0.7593683581251436,0.9058616999908774,0.714346850772454,0.5189064736784721,0.8913827778152253,0.7093590069199065,0.5049045172580224,0.6487493312191692
3:10 to Yuma (2007),0.8366302387209426,0.8729172257169744,0.5867262930124474,0.6476322356211301,0.8951024387048926,0.8710853564492647,0.762162941848233,0.6135427187188491,0.7589137606327376,0.6574178358213478,0.9004573210177014,0.6920117735570086,0.8085933718995058,1.0,0.8069827681715914,0.7356765056527426,0.8385245891692757,0.7378395912369677,0.6526100106769825,0.5449161110578515,0.8209296538955939,0.8878813156146325,0.5907157732126809,0.7303759933094149,0.6977976485586993,0.7038043851457417,0.7434638775224306,0.744166078038885,0.93831118265439,0.8060087488148825,0.8513150803730055,0.7593977025511828,0.6871416090646201,0.6138719289919694,0.9416594095465012,0.6590903834978414,0.7548951573792951,0.7653235762156055,0.6116234060773778,0.8048350616302551,0.8688931579539204,0.7014033980571488,0.5653860753668138,0.6559223143831144,0.5061082616367216,0.8875523571006178,0.7164477241432643,0.6039791635578682,0.8847302340542498,0.8313694056300016,0.5054922317301385,0.7797379970243773,0.6454940391682873,0.7403292785096309,0.7107534142233283,0.5761089523549442,0.8712427378185508,0.769310859104287,0.8363511730489301,0.9548850156221004,0.8391390687051881,0.9644883886510603,0.9114253448584608,0.5827243691606356,0.7241296353612054,0.8103338530014129,0.8553763023605655,0.769222373744173,0.4339878394953428,0.7676062588305346,0.6269005978585465,0.422598572283966,0.8992625831116687,0.727435252033326,0.6514300697022359,0.7955552255937356,0.7003254836952879,0.7673871329923543,0.85399640379831,0.8876990760369199,0.6821906735689979,0.5369303742331689,0.6265781085592571,0.8183174397904236,0.8321547535896318,0.6801887491381989,0.7972987117885063,0.5947467042560425,0.6159681850689005,0.781080027406243,0.7747561879428915,0.8038892218356937,0.8552984313502543,0.8800399446666267,0.0,0.7210183878818615,0.843094754510887,0.7094462020538213,0.9376124581970368,0.767201006124671,0.8272204341185396,0.7434771997769448,0.6462929337032155,0.8954177600640273,0.6114739621095774,0.6853672077041946,0.7305928204149555,0.7666976606777549,0.6588351539699513,0.8568611236274672,0.9392071833951888,0.64103367482032,0.6641743186764386,0.8037867605602157,0.944064301524125,0.6502643731525897,0.672142069374857,0.937237639430902,0.7502270659293211,0.978607228168714,0.7858740488929832,0.7321968122023885,0.905512748334384,0.7285199783280815,0.4410467235973728,0.7348779967915319
A Million Ways to Die in the West (2014),0.9796361099182904,0.942991196932086,0.7703572569574558,0.7598743102810028,0.9132393772417672,0.9808851330680152,0.9395450651751616,0.8687411858811875,0.9188090996446454,0.9282508839432662,1.0,0.8314842506380061,1.0,0.9808128648823452,0.8890593413674784,0.8944585457880525,0.9158701851320956,0.9679261635153052,0.6728575584744229,0.8407383834327135,0.9569137958179496,1.0,0.8233546623332453,0.9417454681091104,0.9037299551030036,0.8267523755402516,0.9025074019647702,0.9791975549680598,1.0,0.0,0.9828341692801804,0.9172979467082412,0.9289409330651526,0.8735053798050116,1.0,0.8209292473688504,0.8723892656221846,0.9252785913802392,0.8835280198129606,0.8565149856935632,0.9457808593291211,0.7963563620318019,0.8018202789715514,0.7169521424393246,0.7933875187061192,0.9876164947204664,0.8790145294467802,0.8459089010078656,0.9851629779065088,0.9837702838500572,0.8352518951466021,0.927491189135485,0.7474255979871842,0.9249998063009024,0.9511075140595436,0.9148407164490262,0.8977648506882164,0.9287966756789512,1.0,1.0,0.971310437529178,0.9888108179419708,0.9843014349037368,0.8573976297952086,0.8482804472616284,0.8886441181014025,0.93698691837722,0.9272853926642972,0.8171673360009681,0.7893561308631352,1.0,0.756851011233793,1.0,0.9373156436885558,0.5595224599940894,0.90630179452455,0.7629790111201523,0.984730653233777,0.9279944156769172,1.0,0.6553920543217453,0.6490178535528082,0.7330080228890579,0.9741472025080256,1.0,0.8511178716720911,0.906629274866885,0.686799822544065,0.9672473815559912,0.91550141525146,0.9749052872293434,0.9016951855547878,0.9899426503990624,1.0,0.8060087488148825,1.0,0.9283607922449708,0.8928950951417439,1.0,0.8805418260936019,0.9907053182724984,0.9173184350670766,0.8654712334652755,0.8440566608882311,0.9865842419450448,0.7527656503273537,0.9087072871672444,1.0,0.9488861644406292,1.0,1.0,0.6060052206283555,0.7828034753336442,0.9881298147175244,0.8805449945621029,0.869396730028796,0.7867402325395201,1.0,0.8944951619179625,0.9815116476581356,0.6948131192560669,0.6255486038384342,0.979159927848313,0.6798308520664966,0.8281881733436698,0.9086390966697344
"African Queen, The (1951)",0.702996356545122,0.5482101267636839,0.9010981508276984,0.7165566569989044,0.8063181713461253,0.7647735806728136,0.5788192152115581,0.6541900146032802,0.9077282164049372,0.7104827629961682,0.6832157657828655,0.7350942496686367,0.7416765055932977,0.4453153872107764,0.8691078810827835,0.923708016178664,0.7458319668077424,0.5863072011624808,0.9244072294884544,0.8853993224639336,0.8493111721767926,0.6530036975588285,0.8444865063295072,0.7279877840668587,0.669276805277642,0.6922092030888669,0.6879884689400835,0.9422095451688508,0.8215541169360991,1.0,0.6367536986613508,0.8327545513780398,0.8290837965140638,0.7336973124271102,0.8150815349851752,0.6491664148882229,0.7079648222799206,0.8053931799034029,0.7359128565411868,0.8369322407896557,0.4689493120922282,0.8523433253266617,0.8526892594808237,0.9413919905405822,0.8976712395455534,0.5946999148847987,0.8298468538793842,0.778401690305726,0.4841291182217977,0.5851580880949163,0.8055197525962912,0.4787898426078639,0.925100519436036,0.7656005237800038,0.8076538839905479,0.8009562972273394,0.7962865376404169,0.8423724222411508,0.5393337975501591,0.6636272126067324,0.8087167701816048,0.8251512239918556,0.5761500870332958,0.846172676273393,0.8013307585060322,0.7772655532425498,0.8386683012236689,0.5222207016885447,0.8807055759186064,0.7366683462566648,0.7647667157231471,0.8410100682518749,0.7318491655468237,0.8339757927765197,0.9156608543251884,0.622111446031317,0.7055003348870923,0.890240392354951,0.9178424050406416,0.6673739163158903,0.9306016176071376,0.928972672389377,0.9071486648560528,0.7306725982045323,0.643720790837687,0.7484331832868358,0.8885435565015015,0.9531490483768058,0.9469232222574916,0.8706522589167796,0.794940936560265,0.7527499150263,0.725490211453423,0.73325565768468,0.937237639430902,0.7367562807776011,0.6425837643734496,0.6875788776392826,0.5668790370153004,0.8247899336098563,0.7454768419456286,0.8277291959086404,0.8845836670291122,0.6547777642939565,0.9161429722757228,0.8871272365053252,0.8248042554000394,0.5914989859158086,0.7288504791505157,0.8955276315296902,0.7439099538106331,0.9227474338057176,0.945850052658942,0.6532357496008594,0.9428777183991108,0.8596892295356953,0.6410286946824106,0.0,0.6783061474406378,0.6436777560598759,0.8533873123377271,0.9399856516595024,0.7456756004937559,0.8927297297063911,0.9098326691004754,0.6126812638249244
American Sniper (2014),0.941915491484706,0.9004441757717275,0.5995668724537435,0.7167219505038062,0.911617922860162,0.9591085870642366,0.8460380831963956,0.8523643952249405,0.9218030966569388,0.8058728989993114,0.9476322100849804,0.895647301538031,0.9177583086639786,1.0,0.889981542507656,0.8104244696259908,0.8344725105370991,0.879264528989208,0.7574495133612996,0.7430952438918632,0.9072009663087988,0.8920385391525028,0.6907959280237637,0.8999642511640634,0.8183384462720843,0.757962853166612,0.7953108839331504,0.9208861181402712,0.9168379398569008,0.7828034753336442,0.8391229121591149,0.7948321746181919,0.7981677952981475,0.8002690825300691,0.9213516500908726,0.8093656259380644,0.8977083571294198,0.868062368727782,0.745952184532392,0.92027277394442,0.8942693427701829,0.7357923181349723,0.584447434914949,0.693394952848527,0.7138476064022679,0.9470172583696832,0.8612054268019208,0.8771532235001194,0.9470999197186152,0.8658462665698294,0.6695098015564058,0.7889602411979197,0.5108852816271248,0.8777570248938779,0.8909505718236167,0.7108306307363643,1.0,0.9212487663174428,0.9286906503921858,1.0,0.8924492886579385,1.0,0.9253708865420572,0.6554792027689819,0.7243768927545121,0.8665980964023092,0.9512585701966616,0.7680439436316409,0.6847480585687995,0.8038120628673608,0.734906594123157,0.7519555037189021,0.9320984622302536,0.9030256869133292,0.5871162725889094,0.7911344397910558,0.8303956526054477,1.0,0.9021982875668416,0.9053801746957966,0.6627848642299659,0.735665802685217,0.6512234102151335,0.8344597052353834,1.0,0.7987670216873839,0.8795200948615014,0.7578465578173044,0.88285273804433,0.8426006595836659,0.7597011866415486,0.8157386901127424,0.8672207865375441,0.916533204280508,0.6641743186764386,0.928149541876576,0.9361441969679622,0.8129601656545606,0.9158959966029024,0.7079423027029124,0.9015287602408972,0.8833782956109245,0.8290993780628189,0.8456810550967789,0.9426007720144246,0.8293312881058975,0.7232875826873202,0.7754713226249089,0.8333789015817494,0.6627183045151259,0.9297535679195396,0.575140344051027,0.0,0.8419975382090212,1.0,0.8237165780223202,0.7979511296065271,0.945850052658942,0.8573969016154989,0.9529153050393444,0.8969067884911326,0.6081678981296551,0.9320654442182028,0.7639899813077435,0.6441641956464094,0.8531588546409481
Apocalypse Now (1979),0.6776510306757677,0.5366935341741633,0.7002052185369718,0.3817577200715872,0.7799267673101842,0.6259927501472646,0.5934290270517509,0.3674738508753545,0.780031312664655,0.464433058106077,0.5704572727938129,0.4487163057263389,0.7068784583859535,0.6615419146709587,0.7732786842533836,0.8956148654723645,0.645839620721454,0.5352541987088132,0.6865713001513747,0.6803468604611198,0.7951337048502553,0.6879506358808722,0.6531750554521468,0.4851371803819801,0.4190407252218,0.7104784121860738,0.3558975543490759,0.8348716443270594,0.8304824909823889,0.9086390966697344,0.5652193081835345,0.5745393179057161,0.5698227538356133,0.5226584424664396,0.7686446699990164,0.4089081848202032,0.6168970084643628,0.676985142325043,0.5954512982028859,0.7124667997541761,0.5011169546044164,0.5709728462667334,0.6589672179710715,0.7747554763666469,0.7239025518341276,0.5731736580817839,0.4665451730123632,0.7270971918861424,0.4364351212496665,0.4704717312099611,0.5300050366500924,0.6350396524904737,0.8272643201412366,0.7170443427224966,0.6939595676909115,0.6083341804898361,0.670504393849569,0.6409023099461877,0.6870908797603317,0.6576676480516908,0.5708979158013618,0.7995081110009878,0.5161182971468059,0.6107056617459499,0.6472671214952745,0.5552410193318984,0.7221643332988814,0.5801893529039461,0.7022329362470398,0.7178283903847889,0.7129432657238474,0.5900609468581934,0.653145028510595,0.613236786798893,0.7022621611341976,0.3615783901998831,0.5887686124785932,0.7261146904448557,0.6495102176712034,0.7066482320507669,0.8073233087354027,0.6487493312191692,0.6415235244514852,0.6476838972117639,0.7265150947232185,0.769401768647606,0.7773238369799638,0.7942178819687411,0.7212604314949402,0.7958710045866809,0.6308682780319557,0.6796512286356893,0.7333246287719002,0.7768840039878327,0.7348779967915319,0.7469838689613284,0.6087296494808823,0.6752652955421581,0.6599992707857705,0.6896077081123,0.588012454828291,0.6669682817126686,0.7536933236937773,0.6009506621695418,0.7230238737706562,0.6824308079891872,0.6025327278918545,0.614634048471367,0.2409738665716152,0.7920671290858172,0.6465495635379379,0.7667568275706119,0.8531588546409481,0.4765294351433746,0.8587343101518028,0.6930764239165195,0.5681214207137275,0.6126812638249244,0.6810585658605517,0.5622969750806028,0.6917032087906053,0.7438942911285594,0.6123451636379491,0.764291870691646,0.7319473530716238,0.0
Back to the Future Part III (1990),0.8816660210233399,0.723329505366398,0.8041051908027199,0.3535623826940787,0.7595528013884701,0.794936723543927,0.7608444854806405,0.4602139271990971,0.7881857999962363,0.6616649885682733,0.8190416464414325,0.4775225881237378,0.7128472257970566,0.900511359906468,0.6635034119142607,0.7234862062095943,0.7159147331112072,0.5843654598227495,0.645524964922436,0.7539922625474574,0.6874468372081068,0.8484058093174227,0.7971504559107838,0.7009160574289865,0.5477489496291731,0.7671229344784928,0.6303911983971473,0.7861311222444171,0.7328317183841777,0.7963563620318019,0.7444861591010432,0.7199158032477663,0.6382726859920647,0.6048285479086782,0.8946191913854727,0.6007884176362857,0.5631165647072618,0.7879080685171167,0.634540142023331,0.6111769174557293,0.7822237039993747,0.0,0.7329973198264186,0.7604730800201727,0.6899283630180482,0.7202778152331509,0.5966446293938199,0.7532357169049587,0.7420106869451553,0.7860915461329265,0.6785895429879153,0.699593755932727,0.7214383225280052,0.7318006361313425,0.7184177314459306,0.6677520462838467,0.8038574826630287,0.6067002148211619,0.747442243376433,0.904143841092414,0.727101643528117,0.8019390318515939,0.8311188131327661,0.6256797350688938,0.6827610443094803,0.6579404784189982,0.5989824633290076,0.7147141695697974,0.6221687415024597,0.7682832625608162,0.6526322141685552,0.5649434299715413,0.9169996336546876,0.688838096842846,0.7101867139630323,0.6122137094598946,0.7370425868450163,0.8345531720806214,0.846731729883121,0.8013023471640719,0.6005293739862432,0.4942067337945892,0.6534787978101559,0.7418027428291096,0.8020567215421796,0.7578229936442671,0.6994971470792051,0.7869131467021713,0.8555485673021659,0.7792342281074583,0.5757063449558324,0.6585076188023282,0.8021930280875065,0.7992165474573538,0.7014033980571488,0.686411203935551,0.7654346951865731,0.7685554036627259,0.8587081046460918,0.777416573536108,0.7464444632186071,0.6673737122786954,0.6745686126522097,0.8337006193429555,0.8158978059257976,0.540265059863024,0.6735388763684791,0.8107329950875333,0.5365509969893925,0.8867244110603609,0.8527300820514458,0.7717873698400842,0.7357923181349723,0.661480611204527,0.7464997182684353,0.6395073752119254,0.6675307202957853,0.8523433253266617,0.6931121354157446,0.7417421077686703,0.7817314243081277,0.632360566210564,0.7993182446287711,0.8061116730838205,0.7098941968440449,0.5709728462667334
Battlestar Galactica (2003),0.761081992706018,0.8574492928177495,0.7051478525994828,0.7476256708021574,0.891527382928695,0.8036175359852216,0.8629357434726824,0.7597663984611971,0.789358665590312,0.8565768769581059,0.8847300043354789,0.831305853139649,0.826652649928687,0.9561944592343046,0.8392809370133552,0.8147735110307514,0.864633479472481,0.8593581262882705,0.6892644120933277,0.812574662411755,0.7622755238396832,0.884780277119836,0.8617820816381164,0.7894181272077506,0.8203295043125421,0.8045862985575846,0.8981403197827352,0.0,0.911246944524338,0.9791975549680598,0.9085548824018168,0.7315873160986204,0.858444011301223,0.7406185306038717,0.9160641120416824,0.8465349976141023,0.8742285344513299,0.8554689023191806,0.8583532712805635,0.9120764596858536,0.9410542839952488,0.7861311222444171,0.8190168611371742,0.9036694256486952,0.6090560311541158,0.8649208087329081,0.7648604911947339,0.7425228151944834,0.8532129464483597,0.8367879294771594,0.723280214746076,0.8423404089339419,0.8249131842918838,0.8547134575415705,0.8276668413932528,0.8288400014922106,1.0,0.8896900336859314,0.8097412855457957,1.0,0.7303573789652926,0.9744543326675814,0.8805303433662851,0.8429870562250347,0.8091669128554748,0.8237317251772749,0.8065568650360426,0.89248719594398,0.7912902664467929,0.827481519205801,0.7550008652373267,0.6981585709176918,0.9275334336572332,0.8415249536041453,0.8078816239473036,0.8353659468450896,0.9128904447154406,0.9651390377911158,0.9178031649831828,0.8990188724296742,0.6773002284887115,0.627280498129487,0.7681278028781044,0.8510354149442206,0.983901157338856,0.7084528309119691,0.7779460972449497,0.887546526984042,0.7064331323214195,0.8215198506295918,0.8197659461044468,0.9230503052281742,0.8530456545222653,0.910921721538394,0.744166078038885,0.7316165941918171,0.8654060481677959,0.8125286731870072,0.8922900091741326,0.8516725188219371,0.935328324256308,0.743469585654251,0.8012634089424049,0.872846678317256,0.7230619552887526,0.7266277049737941,0.8927390630167071,0.9411450395779504,0.8003877713659153,1.0,1.0,0.8859927746771463,0.9208861181402712,0.9096651858829112,0.8748152400869185,0.8384878965057566,0.8672854194661429,0.9422095451688508,0.7669585696113305,0.9577898280678254,0.93501696836183,0.734425137661447,0.8799188868604146,0.9216382664454136,0.8741628014791714,0.8348716443270594
Behind Enemy Lines (2001),0.8267914825320837,0.8812494610997004,0.6622446343532578,0.6890079140338925,0.8644568449947276,0.903223369381946,0.7837054472680407,0.6146708141671055,0.0,0.8318355362771583,0.8773019047749089,0.6775659424539933,0.8318316914108146,1.0,0.6935791702510868,0.6859356076975508,0.8072314037997075,0.7494607085536263,0.65529264186116,0.4985819808828503,0.6509742761633844,0.9080165628861674,0.8518674936994265,0.7775333997714508,0.6676358935374647,0.7894875679653335,0.7309488263405541,0.789358665590312,0.6309672649725386,0.9188090996446454,0.8157532207135683,0.6463114266276446,0.8146152934189228,0.853412821750379,0.8548147160023847,0.8261908953543586,0.7356366950728099,0.8562433758469445,0.7484007207522779,0.5516765344281573,0.8321591857852739,0.7881857999962363,0.6780558076099074,0.7165958055664156,0.5399631194223684,0.8996857120306644,0.7037204903263166,0.6580918388510224,0.9098579961834178,0.9098484240894684,0.6375353900657017,0.8993084120134509,0.8592099492484796,0.9337218851691091,0.491375183510508,0.7647453403302616,0.9171830109718624,0.8516819740182144,0.8329216989524042,0.9407794502596548,0.8303452644863674,0.8821686390480122,0.9364158069858232,0.6722921656832048,0.7234693508748197,0.713146942724143,0.7447769321748616,0.8451680271785471,0.667150995340926,0.7643612405038342,0.8297639804616721,0.5872091695374464,0.8830901810366721,0.7443870753204355,0.7792824887380154,0.8710790354732311,0.8520178840554102,0.9628925668289888,0.8444556957956258,0.8548906060729076,0.8059409886085795,0.6869234904441992,0.634231467184429,0.928197436909408,1.0,0.8411556861813246,0.8770911095372006,0.7085563430547424,0.5592788320121909,0.776492274538042,0.8081515056872048,0.9453943996312004,0.6904104131301365,0.9288860793945528,0.7589137606327376,0.7780892027454351,0.8050476558586875,0.8661389348346972,0.9283431768450564,0.9388829029361262,0.8601704253412984,0.8918058369572082,0.8846127175338382,0.9526284823841086,0.6087657031427725,0.8786565568005964,0.8988012703295007,0.8600217114137495,0.7935174807205052,0.756292497309335,0.8991414350891823,0.814328455190741,0.9218030966569388,0.8798049140977482,0.9428920961831636,0.8826314804211591,0.8391600613366657,0.9077282164049372,0.8186460695303861,0.9157558142297082,0.8590969357896073,0.7864129525610966,0.942119587021539,0.6898137359378598,0.780244420639139,0.780031312664655
Black Hawk Down (2001),0.7639733174680112,0.8466461080317373,0.5486954048854247,0.5220276363505965,0.7904826659474842,0.8558221158660928,0.7084010014480806,0.4378069244554635,0.6375353900657017,0.6135213308491256,0.8458041875836779,0.5292996929774489,0.7322370800055046,0.9411528299945108,0.7683320723268734,0.6893616020295226,0.7340863205441843,0.6617481245016475,0.6678893089498903,0.5664663695987715,0.5969769650716156,0.873653846855422,0.5293865413699637,0.6727894694904697,0.562012626862046,0.484314444975968,0.6177798543865243,0.723280214746076,0.7512319464011652,0.8352518951466021,0.7763998723768408,0.5778891876062155,0.5577120344950609,0.6064005452941637,0.9055986357355512,0.6002591910636689,0.686654356929052,0.799474987641883,0.5157237341774618,0.5633854675849033,0.7816398110692884,0.6785895429879153,0.4778329641993074,0.7283939491412625,0.4834868153166943,0.8251137052472508,0.5814080956272586,0.655227161239632,0.7416514714012927,0.6755417062227334,0.0,0.6790557848979022,0.683219883767988,0.7578156724033203,0.5600497737807293,0.4804343549934455,0.8749941221259424,0.7453425772510882,0.8074171325269509,0.9426421437455108,0.7071733820369575,0.8866729255984315,0.8969863493349995,0.5922849177208336,0.5518084243286514,0.6173277674472334,0.8432270716434749,0.6625855774867342,0.496354582891847,0.6368398935192663,0.5378853092554073,0.4638488809257324,0.93123268764135,0.6689933024359418,0.6159125117486313,0.6314464311299486,0.6511647977296455,0.7444973207911945,0.8283155390838488,0.8260930658154466,0.6781827264382667,0.5044974283459582,0.4858273542290132,0.7889968138926553,0.8702395202416214,0.6635543979617876,0.8126946184443914,0.5133475782852773,0.6706086946943743,0.8022181694261477,0.7244669807952034,0.8317197989500547,0.7107648550402093,0.8880746491343783,0.5054922317301385,0.6624439057551483,0.8280257230721081,0.6981365799257494,0.8233379063587156,0.6226334653764012,0.7817943706330592,0.7135256891632995,0.7214517793166273,0.8581844000005675,0.4344777571845817,0.6794724526457352,0.7066383976376096,0.6829964262162944,0.5415004665710339,0.728875222141695,0.9289554835143184,0.744837978630374,0.6695098015564058,0.7718275213551096,0.8231702976943271,0.6899721754608019,0.64482840321118,0.8055197525962912,0.733496984367801,0.7819203914013989,0.7787136898639324,0.6373076192932309,0.8439242214406594,0.7245868716879421,0.4709318775801288,0.5300050366500924
